,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
43,Gujarat Fluoro,Chemicals,3457.25,103.65,3.09,37978.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicalslimited/GUJAR54281,FLUOROCHEM.NS
44,Gokul Refoils,Edible Oils & Solvent Extraction,31.70,0.95,3.09,314.0,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/gokulrefoilssolvent/GRS,GOKUL.NS
45,D. P. Abhushan,Miscellaneous,401.05,11.45,2.94,893.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dpabhushan/DPA01,DPABHUSHAN.NS
46,Osia Hyper Reta,,312.95,8.85,2.91,323.0,https://www.moneycontrol.com/india/stockpricequote/osiahyperretail/osiahyperretail/OHR,OSIAHYPER.NS
47,KPIGREEN,,917.85,24.25,2.71,1658.0,https://www.moneycontrol.com/india/stockpricequote/kpigreenenergy/kpigreenenergy/KPIGL54232,KPIGREEN.NS
48,ABM Inter,Miscellaneous,81.80,2.05,2.57,77.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02,ABMINTLLTD.NS
49,Kridhan Infra,Miscellaneous,4.00,0.10,2.56,38.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kridhaninfra/RSI02,KRIDHANINF.NS
50,Just Dial,Miscellaneous,621.05,15.15,2.50,5236.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/justdial/JD,JUSTDIAL.NS
51,PB Fintech,Multiline Insurance & Brokers,495.35,12.05,2.49,22266.0,https://www.moneycontrol.com/india/stockpricequote/multilineinsurancebrokers/pbfintech/PF14,POLICYBZR.NS
52,Arvee Laborator,Miscellaneous,88.60,1.85,2.13,98.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arveelaboratoriesltd/AL18,ARVEE.NS
53,S H Kelkar,Chemicals,145.20,2.95,2.07,2010.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/shkelkarcompany/KC17,SHK.NS
54,Shyam Century,Mining & Minerals,22.30,0.45,2.06,495.0,https://www.moneycontrol.com/india/stockpricequote/miningminerals/shyamcenturyferrous/SCF01,SHYAMCENT.NS
55,SHUBHLAXMI,,34.85,0.65,1.90,29.0,https://www.moneycontrol.com/india/stockpricequote/shubhlaxmi/shubhlaxmi/SHUBH6451,SHUBHLAXMI.NS
56,Emkay Taps,Engineering,280.00,5.00,1.82,299.0,https://www.moneycontrol.com/india/stockpricequote/engineering/emkaytapscuttingtools/ETC02,EMKAYTOOLS.NS
57,Amber Enterpris,Miscellaneous,2293.55,40.75,1.81,7728.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01,AMBER.NS
