,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
40,Phoenix Mills,Construction & Contracting - Real Estate,1389.05,-0.60,-0.04,24803.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/phoenixmills/PM02,PHOENIXLTD.NS
41,Mindspace REIT,,374.96,-0.74,-0.20,22236.0,https://www.moneycontrol.com/india/stockpricequote/mindspacebusinessparksreit/mindspacebusinessparksreit/MBP02,MINDSPACE.NS
42,TARC,,43.85,-0.10,-0.23,1294.0,https://www.moneycontrol.com/india/stockpricequote/tarc/tarc/ARG,TARC.NS
43,DLF,Construction & Contracting - Real Estate,394.10,-0.90,-0.23,97552.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,DLF.NS
44,Brookfield REIT,Construction - Real Estate,329.20,-0.83,-0.25,11031.0,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/brookfieldindiarealestatetrust/BIR,BIRET.NS
45,Hemisphere,,104.50,-0.45,-0.43,2978.0,https://www.moneycontrol.com/india/stockpricequote/hemispherepropertiesindia/hemispherepropertiesindia/HPI01,HEMIPROP.NS
46,Embassy Office,Construction - Real Estate,363.96,-1.98,-0.54,28086.0,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/embassyofficeparksreit/EOP,EMBASSY.NS
47,Shoppers Stop,Retail,618.50,-3.80,-0.61,6777.0,https://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51,SHOPERSTOP.NS
48,Emami Realty ,Construction & Contracting - Real Estate,71.00,-0.55,-0.77,269.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/emamirealty/EI23,EMAMIREAL.NS
49,PNC Infratech,Construction & Contracting - Real Estate,283.95,-2.35,-0.82,7284.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/pncinfratech/PI26,PNCINFRA.NS
50,Eldeco Housing,,689.75,-10.75,-1.53,678.0,https://www.moneycontrol.com/india/stockpricequote/eldecohousingindustries/eldecohousingindustries/EH01,ELDEHSG.NS
51,Dhruv Consultan,Construction & Contracting - Real Estate,63.35,-1.05,-1.63,91.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dhruvconsultancyservices/DCS01,DHRUV.NS
52,Prajay Engineer,Construction & Contracting - Housing,14.05,-0.25,-1.75,98.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/prajayengineerssyndicate/PES,PRAENG.NS
53,Parsvnath,Construction & Contracting - Real Estate,7.30,-0.20,-2.67,318.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/parsvnathdevelopers/PD05,PARSVNATH.NS
54,Marathon Realty,Construction & Contracting - Real Estate,253.65,-6.95,-2.67,1172.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/marathonnextgenrealty/MNR,MARATHON.NS
55,V-Mart Retail,Retail,2888.35,-111.60,-3.72,5710.0,https://www.moneycontrol.com/india/stockpricequote/retail/vmartretail/VR03,VMART.NS
56,Sumit Woods,,13.90,-0.60,-4.14,43.0,https://www.moneycontrol.com/india/stockpricequote/sumitwoods/sumitwoods/SW01,SUMIT.NS
57,Future Life,Retail,11.15,-0.55,-4.70,225.0,https://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,FLFL.NS
58,Hubtown,Construction & Contracting - Real Estate,109.30,-5.75,-5.00,795.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/hubtown/AC24,HUBTOWN.NS
