,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
55,Ingersoll Rand,Compressors,2022.10,28.60,1.43,6383.0,https://www.moneycontrol.com/india/stockpricequote/compressors/ingersollrandindia/IRI01,INGERRAND.NS
56,Sadbhav Infra,Infrastructure - General,7.10,0.10,1.43,250.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/sadbhavinfrastructureprojects/SIP,SADBHIN.NS
57,Timken,Bearings,3276.65,44.90,1.39,24647.0,https://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23,TIMKEN.NS
58,Windsor,Engineering - Heavy,37.95,0.50,1.34,246.0,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/windsormachines/WM01,WINDMACHIN.NS
59,Eimco Elecon,Engineering - Heavy,376.05,4.80,1.29,217.0,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eimcoeleconindia/EEI,EIMCOELECO.NS
60,Electrotherm,Engineering,83.80,1.05,1.27,107.0,https://www.moneycontrol.com/india/stockpricequote/engineering/electrothermindia/EI02,ELECTHERM.NS
61,De Nora India,Electric Equipment,719.70,8.45,1.19,382.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/denoraindia/DNI,DENORA.NS
62,Transformers,Power - Transmission & Equipment,40.50,0.45,1.12,537.0,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI,TRIL.NS
63,Garden Reach Sh,Engineering - Heavy,313.45,3.35,1.08,3591.0,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gardenreachshipbuildersengineers/GRS01,GRSE.NS
64,Elgi Equipments,Compressors,538.45,5.50,1.03,17064.0,https://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01,ELGIEQUIP.NS
65,Polycab,Cables - Power & Others,2498.85,25.40,1.03,37392.0,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/polycabindia/PI44,POLYCAB.NS
