,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
70,Murudeshwar Cer,Ceramics & Granite,29.10,-0.10,-0.34,176.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/murudeshwarceramics/MC13,MURUDCERA.NS
71,MBL Infra,Construction & Contracting - Civil,18.10,-0.10,-0.55,190.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mblinfrastructures/MI06,MBLINFRA.NS
72,KNR Construct,Construction & Contracting - Civil,254.50,-1.45,-0.57,7157.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/knrconstructions/KC13,KNRCON.NS
73,JK Lakshmi Cem,Cement - Major,468.05,-2.70,-0.57,5508.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01,JKLAKSHMI.NS
74,Indian Hume,Cement - Products & Building Materials,173.70,-1.15,-0.66,842.0,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/indianhumepipecompany/IHP,INDIANHUME.NS
75,Deccan Cements,Cement - Mini,515.65,-3.85,-0.74,722.0,https://www.moneycontrol.com/india/stockpricequote/cementmini/deccancements/DC,DECCANCE.NS
76,Gayatri Project,Construction & Contracting - Civil,13.30,-0.10,-0.75,249.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,GAYAPROJ.NS
77,Kakatiya Cement,Cement - Mini,203.70,-1.70,-0.83,158.0,https://www.moneycontrol.com/india/stockpricequote/cementmini/kakatiyacements/KC01,KAKATCEM.NS
78,UltraTechCement,Cement - Major,6521.95,-55.55,-0.84,188270.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01,ULTRACEMCO.NS
79,Ahluwalia,Construction & Contracting - Civil,430.90,-4.50,-1.03,2886.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12,AHLUCONT.NS
80,Heidelberg Cem,Cement - Major,186.10,-2.40,-1.27,4217.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02,HEIDELBERG.NS
81,Somany Ceramics,Ceramics & Granite,621.25,-8.45,-1.34,2639.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/somanyceramics/SC49,SOMANYCERA.NS
82,RPP Infra Proj,Construction & Contracting - Civil,42.30,-0.65,-1.51,159.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/rppinfraprojects/RIP01,RPPINFRA.NS
83,RHI Magnesita,Cement - Products & Building Materials,613.65,-9.65,-1.55,9880.0,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/rhimagnesitaindia/OR01,RHIM.NS
84,Kajaria Ceramic,Ceramics & Granite,1134.50,-20.95,-1.81,18065.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06,KAJARIACER.NS
85,Vesuvius India,Cement - Products & Building Materials,1428.95,-26.45,-1.82,2900.0,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/vesuviusindia/VI06,VESUVIUS.NS
86,SPML Infra,Construction & Contracting - Civil,43.50,-1.00,-2.25,198.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/spmlinfra/SPM05,SPMLINFRA.NS
87,Setubandhan Inf,Construction & Contracting - Civil,2.00,-0.05,-2.44,25.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/setubandhaninfrastructure/PC02,SETUINFRA.NS
88,Univastu India,Construction & Contracting - Civil,78.65,-2.00,-2.48,89.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/univastuindia/UI21,UNIVASTU.NS
89,Rajdarshan Ind,Ceramics & Granite,34.20,-1.05,-2.98,11.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/rajdarshanindustries/RI01,ARENTERP.NS
