,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,TTK Prestige,Domestic Appliances,983.30,26.85,2.81,13630.0,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02,TTKPRESTIG.NS
1,Blue Star,Consumer Goods - White Goods,1111.40,19.60,1.80,10704.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,BLUESTARCO.NS
2,Butterfly,Domestic Appliances,1546.10,22.75,1.49,2764.0,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/butterflygandhimathiappliances/GA,BUTTERFLY.NS
3,IFB Industries,Consumer Goods - White Goods,1018.35,12.30,1.22,4126.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02,IFBIND.NS
4,Bajaj Electric,Domestic Appliances,1224.25,2.00,0.16,14067.0,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,BAJAJELEC.NS
5,Whirlpool,Consumer Goods - White Goods,1790.95,-2.45,-0.14,22722.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI,WHIRLPOOL.NS
6,Symphony,Consumer Goods - White Goods,925.25,-7.55,-0.81,6473.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04,SYMPHONY.NS
