,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
78,Kotak Nifty ETF,,187.90,1.24,0.66,42.0,https://www.moneycontrol.com/india/stockpricequote/kotakmahindramutualfundniftyetf/kotakmahindramutualfundniftyetf/KMM01,KOTAKNIFTY.NS
79,IndusInd Bank,Banks - Private Sector,1108.00,7.25,0.66,85890.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB,INDUSINDBK.NS
80,HDFC Bank,Banks - Private Sector,1495.05,9.55,0.64,832129.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,HDFCBANK.NS
81,Shriram City,Finance - Leasing & Hire Purchase,1874.70,11.90,0.64,12523.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU,SHRIRAMCIT.NS
82,Canara Bank,Banks - Public Sector,245.30,1.50,0.62,44501.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06,CANBK.NS
83,Apollo Pipes,Plastics,542.55,3.10,0.57,2134.0,https://www.moneycontrol.com/india/stockpricequote/plastics/apollopipes/ALF02,APOLLOPIPE.NS
84,PNB Gilts,Finance - Investments,63.75,0.35,0.55,1148.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/pnbgilts/PNB04,PNBGILTS.NS
85,MO M50 ETF,,177.18,0.89,0.50,535.0,https://www.moneycontrol.com/india/stockpricequote/motilaloswalm50etf/motilaloswalm50etf/MOM,MOM50.NS
86,Edelweiss ETF ,,4322.40,21.40,0.50,28.0,https://www.moneycontrol.com/india/stockpricequote/edelweissetfbank/edelweissetfbank/EET,EBANK.NS
87,IPRU NF100 ETF,,196.92,0.97,0.50,38.0,https://www.moneycontrol.com/india/stockpricequote/iciciprudentialnifty100etf/iciciprudentialnifty100etf/ICI12,ICICINF100.NS
88,HDFC,Finance - Housing,2456.25,11.90,0.49,446015.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,HDFC.NS
89,AAVAS Financier,Finance - General,2287.95,11.05,0.49,18066.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17,AAVAS.NS
90,Sasta Sundar,Finance - General,351.00,1.50,0.43,1117.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/sastasundarventures/MFS,SASTASUNDR.NS
91,Can Fin Homes,Finance - Housing,638.60,2.70,0.42,8503.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CANFINHOME.NS
92,Pilani Invest,Finance - General,1760.75,7.25,0.41,1950.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/pilaniinvestmentindustriescorporation/PII03,PILANIINVS.NS
93,SBI,Banks - Public Sector,538.90,2.20,0.41,480947.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/statebankindia/SBI,SBIN.NS
94,Bajaj Holdings,Finance - Investments,5672.75,22.80,0.40,63134.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,BAJAJHLDNG.NS
