,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
34,GlaxoSmithKline,Pharmaceuticals,1440.15,6.40,0.45,24397.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GLAXO.NS
35,Pfizer,Pharmaceuticals,4277.45,18.50,0.43,19568.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/pfizer/P,PFIZER.NS
36,Astec Life,Pharmaceuticals,1919.15,8.10,0.42,3762.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/asteclifesciences/AL13,ASTEC.NS
37,Hester Bio,Pharmaceuticals,2113.65,6.90,0.33,1798.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hesterbiosciences/HB01,HESTERBIO.NS
38,Shivalik Rasa,,976.80,3.15,0.32,1415.0,https://www.moneycontrol.com/india/stockpricequote/shivalikrasayan/shivalikrasayan/SR9,SHIVALIK.NS
39,Nath Bio-Genes,Pharmaceuticals,177.10,0.55,0.31,337.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nathbiogenes/NBG,NATHBIOGEN.NS
40,NGL Fine Chem,Pharmaceuticals,1599.55,4.90,0.31,988.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nglfinechem/NGL,NGLFINE.NS
41,Granules India,Pharmaceuticals,306.05,0.90,0.29,7599.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,GRANULES.NS
42,Morepen Lab,Pharmaceuticals,34.45,0.10,0.29,1720.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/morepenlaboratories/ML06,MOREPENLAB.NS
43,Themis Medicare,Pharmaceuticals,798.60,2.30,0.29,735.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/themismedicare/TM04,THEMISMED.NS
44,Caplin Labs,Pharmaceuticals,775.00,2.15,0.28,5875.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,CAPLIPOINT.NS
45,SMS Pharma,Pharmaceuticals,81.35,0.20,0.25,689.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/smspharmaceuticals/SP38,SMSPHARMA.NS
46,Suven Life Sci,Pharmaceuticals,70.50,0.15,0.21,1025.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/suvenlifesciences/SLS01,SUVEN.NS
