,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Golden Tobacco,Cigarettes,89.90,3.50,4.05,158.0,https://www.moneycontrol.com/india/stockpricequote/cigarettes/goldentobacco/GT09,GOLDENTOBC.NS
1,ITC,,328.85,5.70,1.76,407540.0,https://www.moneycontrol.com/india/stockpricequote/itc/itc/ITC,ITC.NS
2,Kothari Product,Cigarettes,148.55,-1.00,-0.67,443.0,https://www.moneycontrol.com/india/stockpricequote/cigarettes/kothariproducts/KP06,KOTHARIPRO.NS
3,VST,Cigarettes,3199.85,-41.40,-1.28,4941.0,https://www.moneycontrol.com/india/stockpricequote/cigarettes/vstindustries/VST,VSTIND.NS
