,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
36,Kamat Hotels,Hotels,102.50,0.70,0.69,242.0,https://www.moneycontrol.com/india/stockpricequote/hotels/kamathotelsindia/KHI,KAMATHOTEL.NS
37,Shree Vasu,Transport & Logistics,151.00,1.00,0.67,115.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/shreevasulogistics/SVL01,SVLL.NS
38,Blue Dart,Couriers,8822.75,56.35,0.64,20935.0,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,BLUEDART.NS
39,Silgo Retail,,26.00,0.15,0.58,27.0,https://www.moneycontrol.com/india/stockpricequote/silgoretail/silgoretail/SR08,SILGO.NS
40,Advani Hotels,Hotels,83.30,0.30,0.36,385.0,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR,ADVANIHOTR.NS
41,SpiceJet,Transport & Logistics,45.20,0.05,0.11,2720.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,SPICEJET.NS
42,Hotel Rugby,Hotels,5.30,0.00,0.00,8.0,https://www.moneycontrol.com/india/stockpricequote/hotels/hotelrugby/HR02,HOTELRUGBY.NS
43,Gujarat Pipavav,Shipping,86.85,-0.05,-0.06,4199.0,https://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,GPPL.NS
44,MMTC Ltd,Trading,41.65,-0.10,-0.24,6248.0,https://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT,MMTC.NS
45,Seamec,Shipping,1078.75,-2.85,-0.26,2743.0,https://www.moneycontrol.com/india/stockpricequote/shipping/seamec/S14,SEAMECLTD.NS
46,Adani Enterpris,Trading,3346.55,-9.25,-0.28,394957.0,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,ADANIENT.NS
47,Chalet Hotels,Hotels,330.60,-1.50,-0.45,6778.0,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,CHALET.NS
48,Interglobe Avi,Transport & Logistics,2019.90,-9.50,-0.47,77854.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04,INDIGO.NS
49,Lotus Eye Care,Hospitals & Medical Services,64.40,-0.35,-0.54,134.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/lotuseyecarehospital/LEC01,LOTUSEYE.NS
50,Jet Airways,Transport & Logistics,101.15,-0.55,-0.54,1149.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jetairways/JA01,JETAIRWAYS.NS
51,Shaily Engg,Trading,1930.30,-12.05,-0.62,1771.0,https://www.moneycontrol.com/india/stockpricequote/trading/shailyengineeringplastics/SEP02,SHAILY.NS
52,Apollo Hospital,Hospitals & Medical Services,4282.55,-29.80,-0.69,61576.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,APOLLOHOSP.NS
53,Container Corp,Transport & Logistics,669.15,-5.20,-0.77,40771.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,CONCOR.NS
